kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,INDUSTRI,3.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,JASA,2.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KONVEKSI,2.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KULINER,96.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MAKANAN,54.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MINUMAN,2.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,OBAT-OBATAN,0.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AGRIBISNIS,8.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AKSESORIS,0.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BATIK,0.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CRAFT,13.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DEKORASI,,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MEBEL,,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,FASHION,2.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,INDUSTRI,3.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,JASA,15.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONVEKSI,4.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KULINER,44.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MAKANAN,53.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MINUMAN,10.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,OBAT-OBATAN,0.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,AGRIBISNIS,9.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,AKSESORIS,0.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,BATIK,1.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,CRAFT,13.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,DEKORASI,,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,MEBEL,,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,FASHION,11.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,INDUSTRI,23.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,JASA,7.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,KONVEKSI,4.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,KULINER,34.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,MAKANAN,62.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,MINUMAN,7.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,OBAT-OBATAN,1.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AGRIBISNIS,18.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AKSESORIS,0.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BATIK,0.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CRAFT,7.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DEKORASI,,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MEBEL,,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,FASHION,4.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,INDUSTRI,8.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,JASA,21.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KONVEKSI,1.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KULINER,31.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MAKANAN,15.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MINUMAN,17.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,OBAT-OBATAN,0.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,AGRIBISNIS,1.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,AKSESORIS,1.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,BATIK,1.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,CRAFT,14.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,DEKORASI,,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,MEBEL,,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,FASHION,7.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,INDUSTRI,3.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,JASA,6.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,KONVEKSI,9.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,KULINER,44.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,MAKANAN,80.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,MINUMAN,18.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,OBAT-OBATAN,1.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,AGRIBISNIS,5.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,AKSESORIS,1.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,BATIK,3.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,BORDIR,1.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,CRAFT,15.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,DEKORASI,,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,MEBEL,,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,FASHION,15.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,INDUSTRI,1.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,JASA,2.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,KONVEKSI,3.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,KULINER,68.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,MAKANAN,60.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,MINUMAN,9.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,OBAT-OBATAN,0.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AGRIBISNIS,7.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AKSESORIS,0.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BATIK,0.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CRAFT,30.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DEKORASI,,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MEBEL,,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,FASHION,47.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,INDUSTRI,2.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,JASA,18.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KONVEKSI,3.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KULINER,73.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MAKANAN,52.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MINUMAN,8.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,OBAT-OBATAN,0.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AGRIBISNIS,0.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AKSESORIS,0.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BATIK,0.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CRAFT,23.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DEKORASI,,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MEBEL,,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,FASHION,13.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,INDUSTRI,4.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,JASA,2.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KONVEKSI,3.0,UNIT,2020
