id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
186,32,JAWA BARAT,3213,KABUPATEN SUBANG,DEKORASI,,UNIT,2020
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,MEBEL,,UNIT,2020
188,32,JAWA BARAT,3213,KABUPATEN SUBANG,FASHION,11.0,UNIT,2020
189,32,JAWA BARAT,3213,KABUPATEN SUBANG,INDUSTRI,23.0,UNIT,2020
190,32,JAWA BARAT,3213,KABUPATEN SUBANG,JASA,7.0,UNIT,2020
191,32,JAWA BARAT,3213,KABUPATEN SUBANG,KONVEKSI,4.0,UNIT,2020
192,32,JAWA BARAT,3213,KABUPATEN SUBANG,KULINER,34.0,UNIT,2020
193,32,JAWA BARAT,3213,KABUPATEN SUBANG,MAKANAN,62.0,UNIT,2020
194,32,JAWA BARAT,3213,KABUPATEN SUBANG,MINUMAN,7.0,UNIT,2020
195,32,JAWA BARAT,3213,KABUPATEN SUBANG,OBAT-OBATAN,1.0,UNIT,2020
196,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AGRIBISNIS,18.0,UNIT,2020
197,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AKSESORIS,0.0,UNIT,2020
198,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BATIK,0.0,UNIT,2020
199,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BORDIR,0.0,UNIT,2020
200,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CRAFT,7.0,UNIT,2020
201,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DEKORASI,,UNIT,2020
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MEBEL,,UNIT,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,FASHION,4.0,UNIT,2020
204,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,INDUSTRI,8.0,UNIT,2020
205,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,JASA,21.0,UNIT,2020
206,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KONVEKSI,1.0,UNIT,2020
207,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KULINER,31.0,UNIT,2020
208,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MAKANAN,15.0,UNIT,2020
209,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MINUMAN,17.0,UNIT,2020
210,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,OBAT-OBATAN,0.0,UNIT,2020
211,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AGRIBISNIS,1.0,UNIT,2020
212,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AKSESORIS,1.0,UNIT,2020
213,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BATIK,1.0,UNIT,2020
