kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CRAFT,7702.0,UNIT,2017
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,FASHION,7518.0,UNIT,2017
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KONVEKSI,4591.0,UNIT,2017
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KULINER,33151.0,UNIT,2017
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MAKANAN,24247.0,UNIT,2017
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MINUMAN,4498.0,UNIT,2017
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,JASA/LAINNYA,10475.0,UNIT,2017
32,JAWA BARAT,3215,KABUPATEN KARAWANG,AKSESORIS,577.0,UNIT,2017
32,JAWA BARAT,3215,KABUPATEN KARAWANG,BATIK,577.0,UNIT,2017
32,JAWA BARAT,3215,KABUPATEN KARAWANG,BORDIR,82.0,UNIT,2017
32,JAWA BARAT,3215,KABUPATEN KARAWANG,CRAFT,20624.0,UNIT,2017
32,JAWA BARAT,3215,KABUPATEN KARAWANG,FASHION,20129.0,UNIT,2017
32,JAWA BARAT,3215,KABUPATEN KARAWANG,KONVEKSI,12292.0,UNIT,2017
32,JAWA BARAT,3215,KABUPATEN KARAWANG,KULINER,88764.0,UNIT,2017
32,JAWA BARAT,3215,KABUPATEN KARAWANG,MAKANAN,64923.0,UNIT,2017
32,JAWA BARAT,3215,KABUPATEN KARAWANG,MINUMAN,12044.0,UNIT,2017
32,JAWA BARAT,3215,KABUPATEN KARAWANG,JASA/LAINNYA,28048.0,UNIT,2017
32,JAWA BARAT,3216,KABUPATEN BEKASI,AKSESORIS,571.0,UNIT,2017
32,JAWA BARAT,3216,KABUPATEN BEKASI,BATIK,571.0,UNIT,2017
32,JAWA BARAT,3216,KABUPATEN BEKASI,BORDIR,82.0,UNIT,2017
32,JAWA BARAT,3216,KABUPATEN BEKASI,CRAFT,20397.0,UNIT,2017
32,JAWA BARAT,3216,KABUPATEN BEKASI,FASHION,19908.0,UNIT,2017
32,JAWA BARAT,3216,KABUPATEN BEKASI,KONVEKSI,12157.0,UNIT,2017
32,JAWA BARAT,3216,KABUPATEN BEKASI,KULINER,87789.0,UNIT,2017
32,JAWA BARAT,3216,KABUPATEN BEKASI,MAKANAN,64210.0,UNIT,2017
32,JAWA BARAT,3216,KABUPATEN BEKASI,MINUMAN,11912.0,UNIT,2017
32,JAWA BARAT,3216,KABUPATEN BEKASI,JASA/LAINNYA,27740.0,UNIT,2017
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AKSESORIS,386.0,UNIT,2017
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BATIK,386.0,UNIT,2017
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BORDIR,55.0,UNIT,2017
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CRAFT,13798.0,UNIT,2017
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,FASHION,13466.0,UNIT,2017
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KONVEKSI,8223.0,UNIT,2017
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KULINER,59385.0,UNIT,2017
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MAKANAN,43435.0,UNIT,2017
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MINUMAN,8058.0,UNIT,2017
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,JASA/LAINNYA,18765.0,UNIT,2017
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AKSESORIS,149.0,UNIT,2017
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BATIK,149.0,UNIT,2017
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BORDIR,21.0,UNIT,2017
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CRAFT,5323.0,UNIT,2017
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,FASHION,5195.0,UNIT,2017
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KONVEKSI,3172.0,UNIT,2017
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KULINER,22910.0,UNIT,2017
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MAKANAN,16756.0,UNIT,2017
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MINUMAN,3109.0,UNIT,2017
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,JASA/LAINNYA,7239.0,UNIT,2017
32,JAWA BARAT,3271,KOTA BOGOR,AKSESORIS,214.0,UNIT,2017
32,JAWA BARAT,3271,KOTA BOGOR,BATIK,214.0,UNIT,2017
32,JAWA BARAT,3271,KOTA BOGOR,BORDIR,31.0,UNIT,2017
32,JAWA BARAT,3271,KOTA BOGOR,CRAFT,7628.0,UNIT,2017
32,JAWA BARAT,3271,KOTA BOGOR,FASHION,7445.0,UNIT,2017
32,JAWA BARAT,3271,KOTA BOGOR,KONVEKSI,4546.0,UNIT,2017
32,JAWA BARAT,3271,KOTA BOGOR,KULINER,32832.0,UNIT,2017
32,JAWA BARAT,3271,KOTA BOGOR,MAKANAN,24014.0,UNIT,2017
32,JAWA BARAT,3271,KOTA BOGOR,MINUMAN,4455.0,UNIT,2017
32,JAWA BARAT,3271,KOTA BOGOR,JASA/LAINNYA,10374.0,UNIT,2017
32,JAWA BARAT,3272,KOTA SUKABUMI,AKSESORIS,99.0,UNIT,2017
32,JAWA BARAT,3272,KOTA SUKABUMI,BATIK,99.0,UNIT,2017
32,JAWA BARAT,3272,KOTA SUKABUMI,BORDIR,14.0,UNIT,2017
32,JAWA BARAT,3272,KOTA SUKABUMI,CRAFT,3530.0,UNIT,2017
32,JAWA BARAT,3272,KOTA SUKABUMI,FASHION,3445.0,UNIT,2017
32,JAWA BARAT,3272,KOTA SUKABUMI,KONVEKSI,2104.0,UNIT,2017
32,JAWA BARAT,3272,KOTA SUKABUMI,KULINER,15192.0,UNIT,2017
32,JAWA BARAT,3272,KOTA SUKABUMI,MAKANAN,11112.0,UNIT,2017
32,JAWA BARAT,3272,KOTA SUKABUMI,MINUMAN,2061.0,UNIT,2017
32,JAWA BARAT,3272,KOTA SUKABUMI,JASA/LAINNYA,4800.0,UNIT,2017
32,JAWA BARAT,3273,KOTA BANDUNG,AKSESORIS,850.0,UNIT,2017
32,JAWA BARAT,3273,KOTA BANDUNG,BATIK,850.0,UNIT,2017
32,JAWA BARAT,3273,KOTA BANDUNG,BORDIR,121.0,UNIT,2017
32,JAWA BARAT,3273,KOTA BANDUNG,CRAFT,30364.0,UNIT,2017
32,JAWA BARAT,3273,KOTA BANDUNG,FASHION,29635.0,UNIT,2017
